application_id;job_id;application_stage
2900991;1127750;interview 1
2447626;1359157;interview 1
2838222;1448786;offer
2281269;1084916;interview 1
2533105;1931363;applied
2656677;1812219;interview 1
2708887;1931363;applied
2090230;1897305;interview 1
2593017;1855744;applied
2512567;1084916;interview 1
2972466;1063882;applied
2570519;1931363;applied
2676652;1532381;interview 1
2080299;1063882;applied
2786897;1451260;applied
2210290;1063882;applied
2368330;1229946;applied
2592544;1779468;applied
2863287;1532381;interview 1
2784683;1897305;interview 1
2523119;1084916;interview 1
2151567;1103815;interview 1
2228263;1615428;applied
2266117;1931363;interview 1
2665121;1668474;interview 1
2567842;1084916;interview 1
2799018;1063882;applied
2433928;1779468;applied
2935193;1779468;applied
2242908;1531020;applied
2228944;1081492;interview 1
2269974;1931363;applied
2824759;1786280;applied
2674492;1531020;applied
2632927;1532381;interview 1
2303799;1779468;applied
2405863;1779468;applied
2355421;1308951;applied
2193537;1229946;applied
2047672;1532381;interview 1
2055002;1745133;interview 1
2167572;1779468;applied
2187850;1812219;interview 1
2303687;1615428;applied
2940385;1688506;applied
2562097;1745133;interview 1
2478640;1964413;interview 1
2084483;1812219;interview 1
2045663;1745133;interview 1
2050923;1166699;interview 1
2880236;1808304;applied
2665215;1812219;interview 1
2684228;1812219;interview 1
2607212;1779468;applied
2227392;1779468;applied
2059339;1779468;applied
2349918;1151958;applied
2826664;1353325;applied
2542686;1179783;applied
2898092;1745133;interview 1
2987302;1812219;interview 1
2074425;1151958;applied
2986533;1103815;interview 1
2711943;1688506;interview 1
2060628;1745133;interview 1
2618859;1908904;applied
2206974;1073400;interview 1
2982256;1615428;applied
2150236;1779468;applied
2193455;1855744;applied
2182601;1728998;interview 1
2691081;1063882;applied
2406662;1412909;applied
2062293;1179783;applied
2804808;1359157;interview 1
2694775;1113343;applied
2694131;1063882;interview 1
2282775;1908904;applied
2809200;1931460;interview 1
2993685;1745133;interview 1
2291361;1618650;interview 1
2084029;1615428;applied
2937009;1531020;applied
2463541;1728998;interview 1
2915282;1532381;interview 1
2056898;1298399;applied
2877764;1812219;interview 1
2506739;1063882;applied
2818369;1931363;interview 1
2704737;1103815;interview 1
2090917;1922318;interview 1
2118664;1179783;applied
2906675;1925719;applied
2859748;1745133;applied
2461583;1812219;interview 1
2770579;1874751;interview 1
2531770;1359157;interview 1
2136453;1688506;interview 1
2510923;1103815;interview 1
2526963;1728998;interview 1
2345308;1931460;interview 1
2603111;1023318;interview 1
2080799;1931460;interview 1
2195212;1829938;interview 1
2134936;1779468;applied
2603439;1312385;applied
2947242;1723540;interview 1
2504572;1229946;applied
2346644;1779468;applied
2247708;1312385;applied
2506747;1176798;applied
2541810;1745133;interview 1
2747005;1710625;applied
2063856;1187198;applied
2408174;1745133;interview 1
2192816;1745133;interview 1
2395123;1908904;applied
2603395;1889072;applied
2349558;1358000;applied
2083340;1063882;applied
2705794;1615428;applied
